titulo,precio,Rating,plataformas,categoria,genero,link,img
In Nightmare,42,4,"PS4
PS5","In Nightmare es una aventura a cargo de Magic Fish Studio y Maximum Games para PlayStation 4 y PlayStation 5. Cerrando su corazón a la realidad, nuestro protagonista cae en un sueño profundo y despierta en un mundo de ensueño de pesadilla. In Nightmare es un juego de aventuras de terror narrativo que combina acción furtiva con diversos rompecabezas.",Aventura,/meristation/juegos/in_nightmare/,//as01.epimg.net/meristation/imagenes/2022/03/05/game_cover/525112201646439588.jpg
Relayer,43,7,"PS4
PS5","Relayer es un videojuego de rol y estrategia ambientado en una realidad alternativa de ciencia ficción y robots a cargo de Kadokawa Games y Clouded Leopard Entertainment para PlayStation 4 y PlayStation 5. Los astronatos, niños humanos que han recibido habilidades especiales, deben enfrentarse a una amenaza extraterrestre conocida como Relayers.","RPG
Estrategia",/meristation/juegos/relayer/,//as01.epimg.net/t.gif
The Legend of Heroes: Trails to Azure,56,9,"PC
PS4
NSW","The Legend of Heroes: Trails to Azure es un RPG a cargo de Nihon Falcom y NIS America para PC, PlayStation 4 y Switch. La Sección de Apoyo Especial está de regreso con más miembros y más casos para resolver ¿Cómo lidiará este grupo heterogéneo con las amenazas que se avecinan a la estabilidad política de Crossbell mientras mantiene la base de su equipo?","RPG
por_turnos",/meristation/juegos/the_legend_of_heroes_trails_to_azure/,//as01.epimg.net/t.gif
The Legend of Heroes: Trails from Zero,24,0,"PC
PS4
NSW","The Legend of Heroes: Trails from Zero es un RPG a cargo de Nihon Falcom y NIS America para PC, PlayStation 4 y Switch. Cuando Lloyd Bannings es asignado a la Sección de Apoyo Especial de Crossbell, él y sus nuevos compañeros de equipo deben demostrar su valía mientras luchan para superar la injusticia en una ciudad atenazada por la corrupción.","RPG
por_turnos",/meristation/juegos/the_legend_of_heroes_trails_from_zero/,//as01.epimg.net/t.gif
Little Orpheus,20,3,"IPH
IPD
PC","Estamos en 1962 y la NASA intenta llevar al hombre a la luna. En un rincón remoto de Siberia, un cosmonauta soviético va en dirección opuesta. El camarada Ivan Ivanovich desciende por un volcán extinto en su cápsula de exploración, Little Orpheus, para explorar el centro de la Tierra. Y, rápidamente, desaparece. Little Orpheus es un plataformas a cargo de The Chinese Room y Secret Mode para iOS, PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series y Switch.",Plataformas,/meristation/juegos/little_orpheus/,//as01.epimg.net/t.gif
Pac-Man Museum+,39,4,"PC
PS4
XBO","Pac-Man Museum+ es un videojuego de acción arcade a cargo de Bandai Namco Entertainment para PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series y Switch que celebra el 40 aniversario de la saga a través de 14 de sus mejores títulos.","Acción
arcade",/meristation/juegos/pac_man_museum_plus/,//as01.epimg.net/t.gif
Pokémon Escarlata / Pokémon Púrpura,25,8,NSW,"Pokémon Escarlata / Pokémon Púrpura es un RPG a cargo de Game Freak y Nintendo para Switch. Las fronteras entre las distintas ciudades y la naturaleza se desdibujan en esta región. Los Pokémon que habitan en ella están por doquier. ¡Prepárate para verlos allá adonde vayas, por tierra, mar y aire! Podrás disfrutar de una experiencia al más puro estilo Pokémon, enfrentándote a Pokémon salvajes para hacerte con ellos, pero esta vez en una aventura de mundo abierto que hará las delicias de pequeños y mayores.","RPG
por_turnos",/meristation/juegos/pokemon_escarlata_pokemon_purpura/,//as01.epimg.net/t.gif
MotoGP 22,36,9,"PC
PS4
XBO","MotoGP 22 es un videojuego de conducción a cargo de Milestone para PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series y Switch, una nueva entrega de la saga de motociclismo pertenciente a la temporada 2022 del mundial de MotoGP.",Conducción,/meristation/juegos/motogp_22/,//as01.epimg.net/t.gif
Not Tonight 2,9,6,PC,"Not Tonight 2 es una aventura a cargo de PanicBarn y No More Robots para PC. Caso número 112 del Servicio de Inmigración: Estás bajo arresto. A menos que tus amigos puedan cruzar una América rota, recuperar tus documentos de identificación y no meterte en problemas. Este es el fin de tu sueño americano.",Aventura,/meristation/juegos/not_tonight_2/,//as01.epimg.net/t.gif
Monster Energy Supercross 5,99,1,"PC
PS4
XBO","Monster Energy Supercross 5 es un videojuego de conducción y motocross a cargo de Milestone para PC, PlayStation 4, Xbox One, PlayStation 5 y Xbox Series. Agárrate al manillar de la moto porque por fin tenemos un nuevo episodio de la serie. ¡Prueba Monster Energy Supercross - The Official Videogame 5 y descubre el Supercross de interior en todo su esplendor!",Conducción,/meristation/juegos/monster_energy_supercross_5/,//as01.epimg.net/t.gif
Daymare: 1994 Sandcastle,21,5,"PC
PS4
XBO","Daymare: 1994 Sandcastle es un survival horror narrativo en tercera persona a cargo de Invader Studios y Leonardo Interactive para PC, PlayStation 4, Xbox One, PlayStation 5 y Xbox Series centrado en la historia, precuela del aclamado Daymare: 1998. Métete en la piel de la agente especial Dalila Reyes, una antigua espía del gobierno ahora al servicio de una unidad llamada H.A.D.E.S. (División Avanzada de Extracción y Búsqueda de Hexacore), y prepárate para entrar en el lugar más icónico y misterioso de la historia.","Aventura
Acción",/meristation/juegos/daymare_1994_sandcastle/,//as01.epimg.net/t.gif
Soul Hackers 2,31,1,"PC
PS4
XBO","Soul Hackers 2 es un RPG a cargo de Atlus para PC, PlayStation 4, Xbox One, PlayStation 5 y Xbox Series que escribe un nuevo capítulo en la saga Devil Summoner Megami Tensei.","RPG
por_turnos",/meristation/juegos/soul_hackers_2/,//as01.epimg.net/t.gif
Capcom Fighting Collection,41,1,"PC
PS4
XBO","Capcom Fighting Collection presenta leyendas de la historia de los juegos de arcade competitivos de Capcom, fielmente reproducidos para jugar como lo hacían en los arcades, para PC, PlayStation 4, Xbox One y Switch. La alineación incluye juegos de la serie Street Fighter, los 5 títulos de la serie Darkstalkers y el lindo pero feroz Super Puzzle Fighter II Turbo y Super Gem Fighter MiniMix. ¡Y no te olvides de Red Earth, que aparece por primera vez en consolas domésticas y PC!",Acción,/meristation/juegos/capcom_fighting_collection/,//as01.epimg.net/t.gif
Street Fighter 6,29,3,"PC
PS5
XBS","Street Fighter 6 es un videojuego de acción y lucha a cargo de Capcom para PC, PlayStation 5 y Xbox Series, la sexta entrega numerada de tan célebre saga protagonizada por Ryu, Ken y compañía.",Acción,/meristation/juegos/street_fighter_6/,//as01.epimg.net/t.gif
SpellForce 3: Reforced,96,8,"PC
PS4
XBO","SpellForce 3: Reforced es un videojuego de estrategia RPG a cargo de Grimlore Games y THQ Nordic para PC, PlayStation 4, Xbox One, PlayStation 5 y Xbox Series. Corre el año 518. La rebelión de los magos renegados, las llamadas Guerras Mágicas, ha sido sofocada por la Corona. Sin embargo, ha sido una victoria pírrica. Regiones enteras se han sumido en la anarquía, los refugiados vagan por las tierras en busca de refugio y ha surgido una misteriosa y mortífera plaga conocida como el «hervor de sangre» que se ha extendido con rapidez.","Estrategia
RPG
tiempo_real",/meristation/juegos/spellforce_3_reforced/,//as01.epimg.net/t.gif
Submerged: Hidden Depths,82,0,"STD
PC
PS4","Submerged: Hidden Depths es una aventura de acción tipo ""relaxploración"" en tercera persona a cargo de Uppercut Games para Stadia, PC, PlayStation 4, Xbox One, PlayStation 5 y Xbox Series, ambientada en las ruinas hundidas de un hermoso mundo. Juega con los personajes Miku y Taku: una está maldita con un misterioso poder que quiere usar para el bien y el otro está decidido a no dejar que ese poder los separe.","Aventura
Acción",/meristation/juegos/submerged_hidden_depths/,//as01.epimg.net/t.gif
Space Party,75,9,NSW,"Space Party es un juego de acción tipo party a cargo de GGTech Entertainment para Switch para jugar con tus amigos en el modo multijugador local, en el que te enfrentarás para ver quién es el mejor marcando y defendiendo. Elige tu modo de juego y juega con amigos, contra la IA o ambos, combinado con eventos que hacen que cada juego se sienta único. Este juego es un rediseño revolucionario del clásico juego Pong, donde los jugadores tendrán habilidades a su disposición para asegurar la locura en todos los niveles.","Acción
arcade",/meristation/juegos/space_party/,//as01.epimg.net/t.gif
Disney Speedstorm,64,8,"PC
PS4
XBO","Disney Speedstorm es un videojuego de conducción arcade de corte free to play a cargo de Gameloft para PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series y Switch protagonizado por los personajes más famosos de Disney.",Conducción,/meristation/juegos/disney_speedstorm/,//as01.epimg.net/t.gif
Portal: Companion Collection,5,0,NSW,"Portal y Portal 2 llegan a Switch con Portal: Companion Collection, un recopilatorio a cargo de Valve con los mismos componentes rompedores de jugabilidad, humor negro y exploración que hicieron que la serie consiguiera cientos de premios. En Portal, tienes que utilizar un dispositivo de portales muy experimental para resolver rompecabezas y desafíos basados en las leyes físicas. Desplaza los objetos (y a ti mismo) a través del espacio para abrirte camino por los misteriosos laboratorios de Aperture Science.","Acción
Puzle",/meristation/juegos/portal_companion_collection/,//as01.epimg.net/t.gif
Live A Live,40,8,NSW,"Live A Live, que se lanzó originalmente solo en Japón para la consola Super Famicom, revive en Switch a cargo de historia y Nintendo. Disfruta por primera vez de este juego de rol en occidente, con gráficos HD-2D. Conoce a siete héroes, cada uno con su propia vida y habilidades, cuyas aventuras se desarrollan a lo largo de distintas épocas. Puedes jugar a cada historia en el orden que prefieras, descubriendo increíbles acontecimientos por el camino.","RPG
por_turnos",/meristation/juegos/live_a_live/,//as01.epimg.net/t.gif
Front Mission 2: Remake,91,6,NSW,Front Mission 2: Remake es un videojuego de estrategia RPG a cargo de Forever Entertainment y Square Enix para Switch.,"Estrategia
RPG",/meristation/juegos/front_mission_2_remake/,//as01.epimg.net/t.gif
Front Mission 1st: Remake,63,7,NSW,"En el año 2090, los conflictos mundiales se libran utilizando enormes máquinas de guerra llamadas Wanzers. La isla de Huffman, el único lugar en el que la Unión Cooperativa de Oceanía (O.C.U.) y los Estados Continentales Unificados (U.C.S.) comparten frontera, es un hervidero de conflictos. Un pelotón de reconocimiento de la O.C.U., dirigido por el capitán Royd Clive, tiene la misión de investigar una fábrica de municiones de la U.C.S. Front Mission 1st: Remake es un videojuego de estrategia RPG a cargo de Forever Entertainment y Square Enix para Switch.","Estrategia
RPG",/meristation/juegos/front_mission_1st_remake/,//as01.epimg.net/t.gif
Chrono Cross: The Radical Dreamers Edition,7,6,"PC
PS4
XBO","Chrono Cross: The Radical Dreamers Edition es un RPG a cargo de Square Enix para PC, PlayStation 4, Xbox One y Switch que transciende el tiempo y el espacio, al desarrollarse en dos mundos paralelos e interconectados. Más de 40 miembros del equipo a los que conocer, personajes y dimensiones se entrelazarán en este drama épico sobre el planeta.","RPG
por_turnos",/meristation/juegos/chrono_cross_the_radical_dreamers_edition/,//as01.epimg.net/t.gif
